"COUNTRY","Country","BIRTH","Place of birth","HATLEV1D","Educational attainment","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"HUN","Hungary","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,81.6,,
"HUN","Hungary","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,84,,
"HUN","Hungary","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,87.2,,
"ISL","Iceland","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,83.2,,
"ISL","Iceland","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,87.2,,
"ISL","Iceland","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,89.3,,
"ISL","Iceland","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,86.1,,
"ISL","Iceland","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,84.3,,
"ISL","Iceland","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,82.2,,
"ISL","Iceland","FB","Foreign-born","L","Low","2016","2016","PC","Percentage","0","Units",,,89.7,,
"ISL","Iceland","FB","Foreign-born","L","Low","2017","2017","PC","Percentage","0","Units",,,84.1,,
"ISL","Iceland","FB","Foreign-born","L","Low","2018","2018","PC","Percentage","0","Units",,,82.5,,
"ISL","Iceland","FB","Foreign-born","L","Low","2019","2019","PC","Percentage","0","Units",,,76.3,,
"ISL","Iceland","FB","Foreign-born","M","Medium","2015","2015","PC","Percentage","0","Units",,,82.1,,
"ISL","Iceland","FB","Foreign-born","M","Medium","2016","2016","PC","Percentage","0","Units",,,83.7,,
"ISL","Iceland","FB","Foreign-born","M","Medium","2017","2017","PC","Percentage","0","Units",,,89.2,,
"ISL","Iceland","FB","Foreign-born","M","Medium","2018","2018","PC","Percentage","0","Units",,,87.4,,
"ISL","Iceland","FB","Foreign-born","M","Medium","2019","2019","PC","Percentage","0","Units",,,81.5,,
"ISL","Iceland","FB","Foreign-born","H","High","2015","2015","PC","Percentage","0","Units",,,85.1,,
"ISL","Iceland","FB","Foreign-born","H","High","2016","2016","PC","Percentage","0","Units",,,90.3,,
"ISL","Iceland","FB","Foreign-born","H","High","2017","2017","PC","Percentage","0","Units",,,92.5,,
"ISL","Iceland","FB","Foreign-born","H","High","2018","2018","PC","Percentage","0","Units",,,87.1,,
"ISL","Iceland","FB","Foreign-born","H","High","2019","2019","PC","Percentage","0","Units",,,89.8,,
"IRL","Ireland","FB","Foreign-born","T","Total","2015","2015","PC","Percentage","0","Units",,,70,,
"IRL","Ireland","FB","Foreign-born","T","Total","2016","2016","PC","Percentage","0","Units",,,71.9,,
"IRL","Ireland","FB","Foreign-born","T","Total","2017","2017","PC","Percentage","0","Units",,,73.9,,
"IRL","Ireland","FB","Foreign-born","T","Total","2018","2018","PC","Percentage","0","Units",,,75.2,,
"IRL","Ireland","FB","Foreign-born","T","Total","2019","2019","PC","Percentage","0","Units",,,76.3,,
"IRL","Ireland","FB","Foreign-born","L","Low","2015","2015","PC","Percentage","0","Units",,,48.5,,
